"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",159,"green",4.87
"Air & Water pollution reduction","Green transition",84,"green",2.57
"Batteries","Green transition",40,"green",1.23
"Biofuels","Green transition",4,"green",0.12
"Biotechnology","Green transition",2918,"green",89.37
"Green buildings","Green transition",12,"green",0.37
"Green transports","Green transition",2,"green",0.06
"Hydrogen","Green transition",3,"green",0.09
"Other energy storage","Green transition",2,"green",0.06
"Recycling technologies","Green transition",6,"green",0.18
"Solar energy","Green transition",16,"green",0.49
"Waste management","Green transition",16,"green",0.49
"Water related adaptation technologies","Green transition",3,"green",0.09
