"id","parent","value","color","share"
"Additive manufacturing","Digital transition",5,"blue",5.26
"Artificial intelligence","Digital transition",4,"blue",4.21
"Augmented reality","Digital transition",6,"blue",6.32
"Autonomous robots","Digital transition",7,"blue",7.37
"Autonomous vehicles","Digital transition",23,"blue",24.21
"Blockchain","Digital transition",9,"blue",9.47
"Cloud computing","Digital transition",6,"blue",6.32
"Cybersecurity","Digital transition",9,"blue",9.47
"Internet of things","Digital transition",22,"blue",23.16
"Quantum computers","Digital transition",1,"blue",1.05
"Smart grids","Digital transition",3,"blue",3.16
