"id","x","y","parent","color"
"Advanced Sustainable Materials",2017,29.82,"Green transition","green"
"Advanced Sustainable Materials",2013,26.64,"Green transition","green"
"Advanced Sustainable Materials",2014,24.78,"Green transition","green"
"Advanced Sustainable Materials",2019,23.35,"Green transition","green"
"Advanced Sustainable Materials",2015,25.11,"Green transition","green"
"Advanced Sustainable Materials",2012,21.86,"Green transition","green"
"Advanced Sustainable Materials",2018,21.91,"Green transition","green"
"Green buildings",2011,21.65,"Green transition","green"
"Air & Water pollution reduction",2018,19.31,"Green transition","green"
"Advanced Sustainable Materials",2016,22.73,"Green transition","green"
"Advanced Sustainable Materials",2011,18.18,"Green transition","green"
"Green buildings",2012,16.91,"Green transition","green"
"Air & Water pollution reduction",2015,17.94,"Green transition","green"
"Air & Water pollution reduction",2019,16.32,"Green transition","green"
"Green buildings",2013,17.03,"Green transition","green"
"Air & Water pollution reduction",2014,16.23,"Green transition","green"
"Air & Water pollution reduction",2017,16.14,"Green transition","green"
"Green buildings",2010,19,"Green transition","green"
"Green buildings",2019,14.26,"Green transition","green"
"Advanced Sustainable Materials",2020,17.75,"Green transition","green"
"Air & Water pollution reduction",2020,17.75,"Green transition","green"
"Air & Water pollution reduction",2010,17.68,"Green transition","green"
"Air & Water pollution reduction",2012,13.81,"Green transition","green"
"Green buildings",2015,15.02,"Green transition","green"
"Green buildings",2020,17.23,"Green transition","green"
"Air & Water pollution reduction",2013,14.19,"Green transition","green"
"Air & Water pollution reduction",2016,17.11,"Green transition","green"
"Advanced Sustainable Materials",2010,16.36,"Green transition","green"
"Wind energy",2019,11.98,"Green transition","green"
"Green buildings",2018,12.36,"Green transition","green"
"Wind energy",2014,12.28,"Green transition","green"
"Wind energy",2011,11.9,"Green transition","green"
"Advanced Sustainable Materials",2021,31.95,"Green transition","green"
"Green buildings",2014,11.62,"Green transition","green"
"Wind energy",2018,11.28,"Green transition","green"
"Wind energy",2013,11.35,"Green transition","green"
"Wind energy",2012,10.52,"Green transition","green"
"Wind energy",2020,13.05,"Green transition","green"
"Solar energy",2011,10.61,"Green transition","green"
"Water related adaptation technologies",2018,10.63,"Green transition","green"
"Wind energy",2015,10.99,"Green transition","green"
"Air & Water pollution reduction",2011,10.39,"Green transition","green"
"Green buildings",2016,12.57,"Green transition","green"
"Wind energy",2017,10.54,"Green transition","green"
"Solar energy",2010,12.14,"Green transition","green"
"Green buildings",2017,10.09,"Green transition","green"
"Wind energy",2016,11.76,"Green transition","green"
"Solar energy",2012,8.87,"Green transition","green"
"Water related adaptation technologies",2019,8.68,"Green transition","green"
"Solar energy",2013,8.52,"Green transition","green"
"Water related adaptation technologies",2016,9.36,"Green transition","green"
"Water related adaptation technologies",2017,7.62,"Green transition","green"
"Water related adaptation technologies",2014,7.46,"Green transition","green"
"Water related adaptation technologies",2020,8.62,"Green transition","green"
"Water related adaptation technologies",2011,7.14,"Green transition","green"
"Solar energy",2014,7.02,"Green transition","green"
"Wind energy",2010,8.18,"Green transition","green"
"Solar energy",2015,6.05,"Green transition","green"
"Solar energy",2020,7.05,"Green transition","green"
"Solar energy",2019,5.58,"Green transition","green"
"Green buildings",2021,14.2,"Green transition","green"
"Recycling technologies",2012,4.95,"Green transition","green"
"Recycling technologies",2018,4.99,"Green transition","green"
"Batteries",2011,4.76,"Green transition","green"
"Solar energy",2018,4.77,"Green transition","green"
"Batteries",2012,4.33,"Green transition","green"
"Water related adaptation technologies",2010,5.54,"Green transition","green"
"Batteries",2019,4.13,"Green transition","green"
"Recycling technologies",2019,4.13,"Green transition","green"
"Solar energy",2016,5.35,"Green transition","green"
"Water related adaptation technologies",2013,4.37,"Green transition","green"
"Wind energy",2021,11.83,"Green transition","green"
"Air & Water pollution reduction",2021,11.24,"Green transition","green"
"Green transports",2015,4.26,"Green transition","green"
"Marine & hydro energy",2014,4.17,"Green transition","green"
"Batteries",2013,3.93,"Green transition","green"
"Biofuels",2017,4.04,"Green transition","green"
"Biofuels",2012,3.71,"Green transition","green"
"Recycling technologies",2016,4.81,"Green transition","green"
"Solar energy",2017,4.04,"Green transition","green"
"Batteries",2020,4.44,"Green transition","green"
"Biotechnology",2017,3.81,"Green transition","green"
"Green transports",2014,3.73,"Green transition","green"
"Green transports",2020,4.44,"Green transition","green"
"Green transports",2018,3.69,"Green transition","green"
"Recycling technologies",2015,3.81,"Green transition","green"
"Water related adaptation technologies",2012,3.51,"Green transition","green"
"Water related adaptation technologies",2015,3.81,"Green transition","green"
"Batteries",2014,3.51,"Green transition","green"
"Biofuels",2018,3.47,"Green transition","green"
"Green transports",2012,3.3,"Green transition","green"
"Green transports",2019,3.31,"Green transition","green"
"Recycling technologies",2010,4.22,"Green transition","green"
"Biofuels",2016,4.01,"Green transition","green"
"Green transports",2011,3.25,"Green transition","green"
"Marine & hydro energy",2012,3.09,"Green transition","green"
"Waste management",2015,3.36,"Green transition","green"
"Water related adaptation technologies",2021,8.88,"Green transition","green"
"Batteries",2015,3.14,"Green transition","green"
"Marine & hydro energy",2011,3.03,"Green transition","green"
"Waste management",2019,2.89,"Green transition","green"
"Batteries",2010,3.43,"Green transition","green"
"Green transports",2017,2.91,"Green transition","green"
"Green transports",2010,3.43,"Green transition","green"
"Recycling technologies",2013,2.84,"Green transition","green"
"Waste management",2012,2.68,"Green transition","green"
"Batteries",2017,2.69,"Green transition","green"
"Biofuels",2014,2.63,"Green transition","green"
"Biofuels",2015,2.69,"Green transition","green"
"Green transports",2013,2.62,"Green transition","green"
"Marine & hydro energy",2016,3.21,"Green transition","green"
"Marine & hydro energy",2013,2.62,"Green transition","green"
"Recycling technologies",2014,2.63,"Green transition","green"
"Recycling technologies",2020,3.13,"Green transition","green"
"Recycling technologies",2017,2.69,"Green transition","green"
"Batteries",2018,2.39,"Green transition","green"
"Solar energy",2021,6.51,"Green transition","green"
"Marine & hydro energy",2017,2.24,"Green transition","green"
"Marine & hydro energy",2020,2.61,"Green transition","green"
"Marine & hydro energy",2010,2.64,"Green transition","green"
"Waste management",2011,2.16,"Green transition","green"
"Batteries",2016,2.41,"Green transition","green"
"Biofuels",2010,2.37,"Green transition","green"
"Recycling technologies",2011,1.95,"Green transition","green"
"Waste management",2017,2.02,"Green transition","green"
"Biofuels",2011,1.73,"Green transition","green"
"Green transports",2016,2.14,"Green transition","green"
"Marine & hydro energy",2018,1.74,"Green transition","green"
"Other energy storage",2013,1.75,"Green transition","green"
"Recycling technologies",2021,4.73,"Green transition","green"
"Waste management",2013,1.75,"Green transition","green"
"Biofuels",2020,1.83,"Green transition","green"
"Marine & hydro energy",2015,1.57,"Green transition","green"
"Marine & hydro energy",2019,1.45,"Green transition","green"
"Other energy storage",2011,1.52,"Green transition","green"
"Waste management",2018,1.52,"Green transition","green"
"Waste management",2010,1.85,"Green transition","green"
"Waste management",2016,1.87,"Green transition","green"
"Biofuels",2013,1.31,"Green transition","green"
"Biotechnology",2019,1.24,"Green transition","green"
"Other energy storage",2012,1.24,"Green transition","green"
"Other energy storage",2010,1.58,"Green transition","green"
"Waste management",2014,1.32,"Green transition","green"
"Biofuels",2021,2.96,"Green transition","green"
"Geothermal energy",2012,1.03,"Green transition","green"
"Other energy storage",2014,1.1,"Green transition","green"
"Batteries",2021,2.37,"Green transition","green"
"Biofuels",2019,0.83,"Green transition","green"
"Biotechnology",2016,1.07,"Green transition","green"
"Geothermal energy",2018,0.87,"Green transition","green"
"Nuclear energy",2015,0.9,"Green transition","green"
"Other energy storage",2016,1.07,"Green transition","green"
"Biotechnology",2011,0.65,"Green transition","green"
"Geothermal energy",2011,0.65,"Green transition","green"
"Green transports",2021,1.78,"Green transition","green"
"Hydrogen",2017,0.67,"Green transition","green"
"Hydrogen",2010,0.79,"Green transition","green"
"Marine & hydro energy",2021,1.78,"Green transition","green"
"Other energy storage",2019,0.62,"Green transition","green"
"Other energy storage",2015,0.67,"Green transition","green"
"Waste management",2020,0.78,"Green transition","green"
"Biotechnology",2013,0.44,"Green transition","green"
"Biotechnology",2014,0.44,"Green transition","green"
"Geothermal energy",2015,0.45,"Green transition","green"
"Geothermal energy",2019,0.41,"Green transition","green"
"Geothermal energy",2014,0.44,"Green transition","green"
"Hydrogen",2019,0.41,"Green transition","green"
"Hydrogen",2020,0.52,"Green transition","green"
"Nuclear energy",2016,0.53,"Green transition","green"
"Nuclear energy",2014,0.44,"Green transition","green"
"Nuclear energy",2013,0.44,"Green transition","green"
"Other energy storage",2020,0.52,"Green transition","green"
"Other energy storage",2018,0.43,"Green transition","green"
"Waste management",2021,1.18,"Green transition","green"
"Biotechnology",2015,0.22,"Green transition","green"
"Biotechnology",2020,0.26,"Green transition","green"
"Biotechnology",2010,0.26,"Green transition","green"
"Biotechnology",2018,0.22,"Green transition","green"
"Efficient power & combustion",2018,0.22,"Green transition","green"
"Geothermal energy",2017,0.22,"Green transition","green"
"Geothermal energy",2010,0.26,"Green transition","green"
"Greenhouse gas capture",2019,0.21,"Green transition","green"
"Greenhouse gas capture",2013,0.22,"Green transition","green"
"Greenhouse gas capture",2010,0.26,"Green transition","green"
"Greenhouse gas capture",2011,0.22,"Green transition","green"
"Hydrogen",2018,0.22,"Green transition","green"
"Hydrogen",2014,0.22,"Green transition","green"
"Hydrogen",2011,0.22,"Green transition","green"
"Nuclear energy",2012,0.21,"Green transition","green"
"Nuclear energy",2021,0.59,"Green transition","green"
"Nuclear energy",2017,0.22,"Green transition","green"
"Nuclear energy",2019,0.21,"Green transition","green"
"Other energy storage",2017,0.22,"Green transition","green"
