"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",340,"green",16.16
"Air & Water pollution reduction","Green transition",149,"green",7.08
"Batteries","Green transition",25,"green",1.19
"Biofuels","Green transition",70,"green",3.33
"Biotechnology","Green transition",1195,"green",56.8
"Geothermal energy","Green transition",1,"green",0.05
"Green buildings","Green transition",35,"green",1.66
"Green transports","Green transition",15,"green",0.71
"Greenhouse gas capture","Green transition",7,"green",0.33
"Hydrogen","Green transition",7,"green",0.33
"Marine & hydro energy","Green transition",1,"green",0.05
"Other energy storage","Green transition",6,"green",0.29
"Recycling technologies","Green transition",55,"green",2.61
"Solar energy","Green transition",22,"green",1.05
"Waste management","Green transition",109,"green",5.18
"Water related adaptation technologies","Green transition",62,"green",2.95
"Wind energy","Green transition",5,"green",0.24
