"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",143,"green",1.85
"Air & Water pollution reduction","Green transition",34,"green",0.44
"Batteries","Green transition",327,"green",4.22
"Biofuels","Green transition",76,"green",0.98
"Biotechnology","Green transition",10,"green",0.13
"Efficient power & combustion","Green transition",86,"green",1.11
"Geothermal energy","Green transition",73,"green",0.94
"Green buildings","Green transition",451,"green",5.82
"Green transports","Green transition",186,"green",2.4
"Greenhouse gas capture","Green transition",8,"green",0.1
"Hydrogen","Green transition",102,"green",1.32
"Marine & hydro energy","Green transition",292,"green",3.77
"Nuclear energy","Green transition",3,"green",0.04
"Other energy storage","Green transition",62,"green",0.8
"Recycling technologies","Green transition",18,"green",0.23
"Solar energy","Green transition",3569,"green",46.09
"Waste management","Green transition",9,"green",0.12
"Water related adaptation technologies","Green transition",10,"green",0.13
"Wind energy","Green transition",2285,"green",29.51
