"id","parent","value","color","share"
"Additive manufacturing","Digital transition",12,"blue",1
"Advanced Sustainable Materials","Green transition",109,"green",9.07
"Air & Water pollution reduction","Green transition",63,"green",5.24
"Artificial intelligence","Digital transition",15,"blue",1.25
"Augmented reality","Digital transition",12,"blue",1
"Autonomous robots","Digital transition",4,"blue",0.33
"Autonomous vehicles","Digital transition",112,"blue",9.32
"Batteries","Green transition",32,"green",2.66
"Biofuels","Green transition",19,"green",1.58
"Biotechnology","Green transition",563,"green",46.84
"Blockchain","Digital transition",4,"blue",0.33
"Cloud computing","Digital transition",10,"blue",0.83
"Cybersecurity","Digital transition",6,"blue",0.5
"Green buildings","Green transition",11,"green",0.92
"Green transports","Green transition",10,"green",0.83
"Greenhouse gas capture","Green transition",4,"green",0.33
"Hydrogen","Green transition",2,"green",0.17
"Internet of things","Digital transition",20,"blue",1.66
"Marine & hydro energy","Green transition",4,"green",0.33
"Nanotechnology","Digital transition",16,"blue",1.33
"Quantum computers","Digital transition",3,"blue",0.25
"Recycling technologies","Green transition",20,"green",1.66
"Solar energy","Green transition",22,"green",1.83
"Waste management","Green transition",34,"green",2.83
"Water related adaptation technologies","Green transition",91,"green",7.57
"Wind energy","Green transition",4,"green",0.33
