"id","x","y","parent","color"
"Advanced Sustainable Materials",2018,2104,"Green transition","green"
"Advanced Sustainable Materials",2017,2097,"Green transition","green"
"Advanced Sustainable Materials",2019,1975,"Green transition","green"
"Advanced Sustainable Materials",2016,1918,"Green transition","green"
"Advanced Sustainable Materials",2014,1766,"Green transition","green"
"Additive manufacturing",2019,1712,"Digital transition","blue"
"Advanced Sustainable Materials",2015,1635,"Green transition","green"
"Additive manufacturing",2018,1546,"Digital transition","blue"
"Additive manufacturing",2020,1545,"Digital transition","blue"
"Advanced Sustainable Materials",2013,1506,"Green transition","green"
"Advanced Sustainable Materials",2020,1411,"Green transition","green"
"Additive manufacturing",2017,1257,"Digital transition","blue"
"Advanced Sustainable Materials",2012,1254,"Green transition","green"
"Nanotechnology",2013,1083,"Digital transition","blue"
"Nanotechnology",2012,1061,"Digital transition","blue"
"Nanotechnology",2019,1044,"Digital transition","blue"
"Nanotechnology",2017,1033,"Digital transition","blue"
"Nanotechnology",2018,1021,"Digital transition","blue"
"Nanotechnology",2014,992,"Digital transition","blue"
"Nanotechnology",2011,977,"Digital transition","blue"
"Nanotechnology",2016,964,"Digital transition","blue"
"Advanced Sustainable Materials",2011,942,"Green transition","green"
"Additive manufacturing",2016,919,"Digital transition","blue"
"Nanotechnology",2015,916,"Digital transition","blue"
"Biofuels",2014,907,"Green transition","green"
"Nanotechnology",2010,887,"Digital transition","blue"
"Biofuels",2012,859,"Green transition","green"
"Batteries",2019,834,"Green transition","green"
"Biofuels",2013,823,"Green transition","green"
"Biofuels",2011,810,"Green transition","green"
"Additive manufacturing",2021,772,"Digital transition","blue"
"Batteries",2014,748,"Green transition","green"
"Advanced Sustainable Materials",2010,745,"Green transition","green"
"Biofuels",2015,742,"Green transition","green"
"Recycling technologies",2014,720,"Green transition","green"
"Biofuels",2010,709,"Green transition","green"
"Additive manufacturing",2015,691,"Digital transition","blue"
"Batteries",2017,691,"Green transition","green"
"Advanced Sustainable Materials",2021,689,"Green transition","green"
"Batteries",2020,684,"Green transition","green"
"Biofuels",2016,680,"Green transition","green"
"Batteries",2016,670,"Green transition","green"
"Nanotechnology",2020,669,"Digital transition","blue"
"Recycling technologies",2020,668,"Green transition","green"
"Biofuels",2017,667,"Green transition","green"
"Recycling technologies",2012,667,"Green transition","green"
"Batteries",2018,666,"Green transition","green"
"Recycling technologies",2013,660,"Green transition","green"
"Recycling technologies",2016,658,"Green transition","green"
"Recycling technologies",2018,655,"Green transition","green"
"Recycling technologies",2017,645,"Green transition","green"
"Air & Water pollution reduction",2016,635,"Green transition","green"
"Biofuels",2018,635,"Green transition","green"
"Batteries",2013,629,"Green transition","green"
