"id","x","y","parent","color"
"Biotechnology",2017,13.16,"Green transition","green"
"Biotechnology",2016,13.28,"Green transition","green"
"Biotechnology",2014,13.04,"Green transition","green"
"Biotechnology",2012,13.64,"Green transition","green"
"Biotechnology",2013,13.58,"Green transition","green"
"Biotechnology",2015,13.05,"Green transition","green"
"Biotechnology",2010,15.79,"Green transition","green"
"Biotechnology",2019,11.18,"Green transition","green"
"Biotechnology",2018,11.52,"Green transition","green"
"Biotechnology",2011,14.4,"Green transition","green"
"Biotechnology",2020,11.33,"Green transition","green"
"Internet of things",2019,9.28,"Digital transition","blue"
"Internet of things",2020,9.55,"Digital transition","blue"
"Internet of things",2018,9.46,"Digital transition","blue"
"Internet of things",2017,9.06,"Digital transition","blue"
"Internet of things",2016,9.2,"Digital transition","blue"
"Green transports",2019,7.82,"Green transition","green"
"Air & Water pollution reduction",2012,9.06,"Green transition","green"
"Air & Water pollution reduction",2017,8.29,"Green transition","green"
"Green transports",2020,7.89,"Green transition","green"
"Green transports",2012,8.88,"Green transition","green"
"Internet of things",2015,8.66,"Digital transition","blue"
"Internet of things",2014,8.35,"Digital transition","blue"
"Batteries",2019,7.41,"Green transition","green"
"Air & Water pollution reduction",2014,8.25,"Green transition","green"
"Batteries",2020,7.65,"Green transition","green"
"Air & Water pollution reduction",2018,7.54,"Green transition","green"
"Green transports",2013,8.5,"Green transition","green"
"Air & Water pollution reduction",2016,8.18,"Green transition","green"
"Air & Water pollution reduction",2015,8.25,"Green transition","green"
"Green transports",2014,7.8,"Green transition","green"
"Air & Water pollution reduction",2013,8.15,"Green transition","green"
"Green transports",2015,8.01,"Green transition","green"
"Green transports",2018,7.18,"Green transition","green"
"Air & Water pollution reduction",2011,8.84,"Green transition","green"
"Air & Water pollution reduction",2019,6.74,"Green transition","green"
"Batteries",2013,7.78,"Green transition","green"
"Batteries",2018,6.88,"Green transition","green"
"Green transports",2011,8.58,"Green transition","green"
"Batteries",2014,7.29,"Green transition","green"
"Batteries",2012,7.62,"Green transition","green"
"Internet of things",2013,7.59,"Digital transition","blue"
"Green transports",2017,6.94,"Green transition","green"
"Green transports",2016,7.14,"Green transition","green"
"Cybersecurity",2020,6.52,"Digital transition","blue"
