"id","parent","value","color","share"
"Additive manufacturing","Digital transition",45,"blue",0.66
"Advanced Sustainable Materials","Green transition",86,"green",1.27
"Air & Water pollution reduction","Green transition",59,"green",0.87
"Artificial intelligence","Digital transition",56,"blue",0.82
"Augmented reality","Digital transition",31,"blue",0.46
"Autonomous robots","Digital transition",4,"blue",0.06
"Autonomous vehicles","Digital transition",87,"blue",1.28
"Batteries","Green transition",458,"green",6.74
"Biofuels","Green transition",58,"green",0.85
"Biotechnology","Green transition",28,"green",0.41
"Blockchain","Digital transition",14,"blue",0.21
"Cloud computing","Digital transition",17,"blue",0.25
"Cybersecurity","Digital transition",44,"blue",0.65
"Efficient power & combustion","Green transition",75,"green",1.1
"Geothermal energy","Green transition",44,"green",0.65
"Green buildings","Green transition",381,"green",5.61
"Green transports","Green transition",160,"green",2.36
"Greenhouse gas capture","Green transition",6,"green",0.09
"Hydrogen","Green transition",71,"green",1.05
"Internet of things","Digital transition",48,"blue",0.71
"Marine & hydro energy","Green transition",206,"green",3.03
"Nanotechnology","Digital transition",87,"blue",1.28
"Nuclear energy","Green transition",16,"green",0.24
"Other energy storage","Green transition",73,"green",1.07
"Quantum computers","Digital transition",216,"blue",3.18
"Recycling technologies","Green transition",39,"green",0.57
"Smart grids","Digital transition",311,"blue",4.58
"Solar energy","Green transition",3476,"green",51.19
"Waste management","Green transition",15,"green",0.22
"Water related adaptation technologies","Green transition",11,"green",0.16
"Wind energy","Green transition",569,"green",8.38
