"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2,"blue",0.05
"Advanced Sustainable Materials","Green transition",233,"green",5.29
"Air & Water pollution reduction","Green transition",13,"green",0.3
"Artificial intelligence","Digital transition",734,"blue",16.66
"Augmented reality","Digital transition",914,"blue",20.75
"Autonomous robots","Digital transition",23,"blue",0.52
"Autonomous vehicles","Digital transition",407,"blue",9.24
"Batteries","Green transition",172,"green",3.9
"Biofuels","Green transition",3,"green",0.07
"Biotechnology","Green transition",2,"green",0.05
"Blockchain","Digital transition",102,"blue",2.32
"Cloud computing","Digital transition",316,"blue",7.17
"Cybersecurity","Digital transition",334,"blue",7.58
"Geothermal energy","Green transition",1,"green",0.02
"Green buildings","Green transition",68,"green",1.54
"Green transports","Green transition",44,"green",1
"Greenhouse gas capture","Green transition",1,"green",0.02
"Hydrogen","Green transition",3,"green",0.07
"Internet of things","Digital transition",565,"blue",12.83
"Nanotechnology","Digital transition",20,"blue",0.45
"Other energy storage","Green transition",5,"green",0.11
"Quantum computers","Digital transition",72,"blue",1.63
"Recycling technologies","Green transition",2,"green",0.05
"Smart grids","Digital transition",13,"blue",0.3
"Solar energy","Green transition",346,"green",7.85
"Waste management","Green transition",5,"green",0.11
"Water related adaptation technologies","Green transition",2,"green",0.05
"Wind energy","Green transition",3,"green",0.07
