parent,priority,concept,description
"Landbouw, Water en Voedsel",Innovatief Waterbeheer,524765639,Water resource management: management of water by humans
"Landbouw, Water en Voedsel",Vertical Farming,503900551,Urban agriculture: agriculture in urban environments
"Landbouw, Water en Voedsel",Kringloop Landbouw,2777448596,"Circular economy: regenerative system in which resource input and waste, emission, and energy leakage, are minimised"
"Landbouw, Water en Voedsel",Teeltverduurzaming,54924851,Sustainable agriculture: farming relying on ecosystem services for maintenance
"Landbouw, Water en Voedsel",Klimaatneutrale Landbouw,38739810,Ecological farming
"Landbouw, Water en Voedsel",Valorisatie Deltatechnologie,135114317,River delta: landform that is formed at the mouth of a river
Energie en Klimaat,Slimme mobiliteit,2983061281,Car sharing: model of car rental where people rent cars for short periods of time
Energie en Klimaat,Slimme mobiliteit,2777103469,Smart city: urban area that uses different types of electronic Internet of things sensors to collect data and then use these data to manage assets and resources efficiently
Energie en Klimaat,Slimme mobiliteit,2994216210,Rapid transit: high-capacity public transport generally used in urban areas
Energie en Klimaat,Slimme mobiliteit,2778399496,"Transit-oriented development: urban development that maximizes the amount of residential, business, and leisure space within walking distance of public transport"
Energie en Klimaat,Slimme mobiliteit,2779607880,Charging station: infrastructure that supplies electric energy for the recharging of electric vehicles
Energie en Klimaat,Waterstof,542482507,Hydrogen technologies
Energie en Klimaat,Circulair Bouwen,2777448596,"Circular economy: regenerative system in which resource input and waste, emission, and energy leakage, are minimised"
Energie en Klimaat,Hergebruik plastic,2780955318,Biodegradable plastic: plastic that can be biodegraded
Energie en Klimaat,Chemische recycling,91558341,Green chemistry: area of chemistry and chemical engineering focused on minimizing hazardous substances
Energie en Klimaat,Energielogistiek,2989159101,Energy transport: bulk movement of electrical energy from a generating site to an electrical substation
Energie en Klimaat,Energielogistiek,10558101,Smart grid: electrical grid operated by automatic control devices or controled and maintained from distance
Energie en Klimaat,Batterietechnologie,555008776,"Battery (electricity): assembly of one or more electrochemical cells, used to electrical devices with stored electrical energy"
Energie en Klimaat,CO2 vrije elektriciteit,126172416,Carbon neutrality: having net zero carbon emissions
Energie en Klimaat,Verduurzaming bouwsector ,2780057273,Green infrastructure: type of infrastructure
Energie en Klimaat,Verduurzaming bouwsector ,2984362373,Green building: architecture designed to minimize environmental and resource impact
Sleuteltechnologieen,Quantum ,58053490,Quantum computer: theoretical computation device relying on quantum mechanics
Sleuteltechnologieen,Quantum ,119382340,Superconducting quantum computing: quantum computing implementation
Sleuteltechnologieen,NANO,171250308,Nanotechnology: field of applied science whose theme is the control of matter on atomic and (supra)molecular scale
Sleuteltechnologieen,Engineering Fabrication - Autonomous robots,2778835581,Autonomous robot: robot that performs behaviors or tasks with a high degree of autonomy
Sleuteltechnologieen,Engineering Fabrication - Additive manufacturing,524769229,3D printing: additive process used to make a three-dimensional object
Sleuteltechnologieen,Life sciences - Biotechnology,150903083,Biotechnology: use of living systems and organisms to develop or make useful products
Veiligheid,Defensietechnologie,130767629,Mortar: artillery weapon that launches explosive projectiles at high angles
Veiligheid,Defensietechnologie,187878255,Rocket (weapon): weapon utilizing a self-contained rocket engine to propel itself to its target
Veiligheid,Defensietechnologie,2778857364,Missile: self-propelled guided weapon system
Veiligheid,Defensietechnologie,194110935,Nuclear weapon: explosive device that gets its destructive force from nuclear reactions
Veiligheid,Defensietechnologie,1517167,Sight: device for alignment and aiming of a weapon
Veiligheid,Defensietechnologie,2988724468,Defence industry: industrial sector which manufactures weapons and military technology and equipment
Veiligheid,Cybersecurity,38652104,"Computer security: the protection of computer systems and networks from theft, damage, misuse or data leak"
Veiligheid,Aerospace,146978453,Aerospace engineering: branch of engineering
Gezondheid,Regeneratieve geneeskunde,10854531,"Regenerative medicine: branch of translational research in tissue engineering and molecular biology dealing with the process of replacing, engineering, or regenerating biological units to (re-)establish normal function"
Gezondheid,Imaging,31601959,Medical imaging: technique and process of creating visual representations of the interior of a body
Gezondheid,Tracing,2779891985,Telemedicine: providing clinical health care from a distance through telecommunication and information technology
Gezondheid,E-health,145642194,"Health informatics: discipline at the intersection of information science, computer science, and health care"
Electrical engineering,"Electrical machinery, apparatus, energy",2993130303,Electrical machinery: apparatus that converts energy through means of magnetic induction
Electrical engineering,Audio-visual technology,3017588708,"Audio visual: electronic media with both a sound and a visual component, such as films, television programs, church services and live theater productions"
Electrical engineering,Telecommunications,76155785,Telecommunications: electronic transmission of information between locations
Electrical engineering,Digital communication,84462506,Digital signal processing: mathematical manipulation of an information signal
Electrical engineering,Basic communication processes,761482,Transmission (telecommunications): process of sending and propagating a signal
Electrical engineering,Computer technology,41008148,Computer science: study of computation
Electrical engineering,IT methods for management,29848774,"Management information systems: focuses on the manager of information technology to provide efficiency and effectiveness or strategy decision making;the concept may include systems termed transaction processing system, decision support system, expert or executive information system"
Electrical engineering,IT methods for management,201359696,Information Technology Infrastructure Library: set of practices for IT service management
Electrical engineering,IT methods for management,134503902,Information technology management: the discipline whereby all of the information technology resources of a firm are managed in accordance with its needs and priorities
Electrical engineering,Semiconductors,108225325,Semiconductor: material that has electrical conductivity intermediate to that of a conductor and an insulator
Instruments,Optics,120665830,Optics: branch of physics concerning light
Instruments,Measurement,67649825,Microscope: instrument used to see objects that are too small for the naked eye
Instruments,Measurement,2780848835,Telescope: instrument that aids in the observation of remote objects
Instruments,Measurement,17534553,Altimeter: instrument used to measure the altitude of an object above a fixed level
Instruments,Measurement,21054061,Tiltmeter: instrument designed to measure very small changes from the vertical level
Instruments,Measurement,21158419,Nephelometer: instrument for measuring the concentration of suspended particulates
Instruments,Measurement,21592077,Instrumentation and control engineering:Ê
Instruments,Measurement,29420128,Galvanometer: instrument to measure electric current
Instruments,Measurement,30198954,Thermal mass flow meter: family of instruments for the measurement of the total mass flow rate of a flui
Instruments,Measurement,32688793,Tilt sensor: instrument used to measure the inclination of a surface relative to local gravity
Instruments,Measurement,39546656,Diffractometer: measuring instrument
Instruments,Measurement,43210895,Laser tracker: instruments that accurately measure large objects
Instruments,Measurement,46399941,Theodolite: surveying instrument that measures azimuth and elevation between points
Instruments,Measurement,48806519,Goniometer: measuring instrument
Instruments,Measurement,54473852,Electrometer: instrument for measuring electric charge
Instruments,Measurement,62646347,Measuring instrument: device for measuring a physical quantity
Instruments,Measurement,73362275,Plethysmograph: instrument for recording and measuring variation in the volume of a part of the body
Instruments,Measurement,75031826,Sediment trap: instrument used in oceanography to measure the quantity of sinking particulate material
Instruments,Measurement,77530849,Polarimeter: instrument for measuring polarization
Instruments,Measurement,79261456,Profilometer: instrument used to measure a surface's profile
Instruments,Measurement,88033656,Geiger counter: instrument used for measuring ionizing radiation
Instruments,Measurement,88893950,Schmidt hammer: measuring instrument
Instruments,Measurement,90166738,"Noise-figure meter: instrument for measuring the noise figure of an amplifier, mixer, or similar device"
Instruments,Measurement,93356670,Viscometer: measuring instrument
