"id","x","y","parent","color"
"Solar energy",2012,77.66,"Green transition","green"
"Solar energy",2013,75.54,"Green transition","green"
"Solar energy",2014,74.75,"Green transition","green"
"Solar energy",2011,77.52,"Green transition","green"
"Solar energy",2019,72.02,"Green transition","green"
"Solar energy",2018,70.66,"Green transition","green"
"Solar energy",2017,68.1,"Green transition","green"
"Solar energy",2020,76.38,"Green transition","green"
"Solar energy",2016,69.04,"Green transition","green"
"Solar energy",2015,71.76,"Green transition","green"
"Solar energy",2010,78.91,"Green transition","green"
"Solar energy",2021,77.46,"Green transition","green"
"Advanced Sustainable Materials",2017,14.19,"Green transition","green"
"Advanced Sustainable Materials",2019,12.59,"Green transition","green"
"Advanced Sustainable Materials",2016,13.68,"Green transition","green"
"Advanced Sustainable Materials",2014,11.52,"Green transition","green"
"Advanced Sustainable Materials",2013,10.53,"Green transition","green"
"Advanced Sustainable Materials",2018,11.64,"Green transition","green"
"Advanced Sustainable Materials",2015,11.59,"Green transition","green"
"Advanced Sustainable Materials",2012,9.03,"Green transition","green"
"Advanced Sustainable Materials",2011,8.55,"Green transition","green"
"Advanced Sustainable Materials",2020,9.44,"Green transition","green"
"Green buildings",2018,6.06,"Green transition","green"
"Green buildings",2013,5.32,"Green transition","green"
"Advanced Sustainable Materials",2010,7.55,"Green transition","green"
"Green buildings",2017,6.16,"Green transition","green"
"Green buildings",2011,5.65,"Green transition","green"
"Green buildings",2014,5.17,"Green transition","green"
"Green buildings",2019,5.2,"Green transition","green"
"Green buildings",2012,4.73,"Green transition","green"
"Green buildings",2016,5.51,"Green transition","green"
"Green buildings",2015,5.63,"Green transition","green"
"Advanced Sustainable Materials",2021,11.4,"Green transition","green"
"Batteries",2018,4.68,"Green transition","green"
"Batteries",2019,4.25,"Green transition","green"
"Batteries",2015,4.91,"Green transition","green"
"Batteries",2016,4.7,"Green transition","green"
"Green buildings",2010,5.36,"Green transition","green"
"Batteries",2017,4.14,"Green transition","green"
"Green buildings",2020,4.59,"Green transition","green"
"Batteries",2013,3.36,"Green transition","green"
"Batteries",2020,4.4,"Green transition","green"
"Batteries",2014,3.49,"Green transition","green"
"Batteries",2012,2.91,"Green transition","green"
"Batteries",2011,2.98,"Green transition","green"
"Batteries",2010,2.85,"Green transition","green"
"Green buildings",2021,4.48,"Green transition","green"
"Air & Water pollution reduction",2017,1.71,"Green transition","green"
"Green transports",2013,1.44,"Green transition","green"
"Green transports",2012,1.43,"Green transition","green"
"Green transports",2018,1.48,"Green transition","green"
"Air & Water pollution reduction",2019,1.42,"Green transition","green"
"Air & Water pollution reduction",2011,1.45,"Green transition","green"
"Air & Water pollution reduction",2016,1.5,"Green transition","green"
"Green transports",2017,1.43,"Green transition","green"
"Air & Water pollution reduction",2012,1.19,"Green transition","green"
"Air & Water pollution reduction",2018,1.32,"Green transition","green"
"Green transports",2014,1.19,"Green transition","green"
"Batteries",2021,2.94,"Green transition","green"
"Green transports",2016,1.33,"Green transition","green"
"Green transports",2019,1.16,"Green transition","green"
"Green transports",2011,1.2,"Green transition","green"
"Biotechnology",2018,1.08,"Green transition","green"
"Green transports",2010,1.37,"Green transition","green"
"Green transports",2015,1.2,"Green transition","green"
"Biotechnology",2019,1,"Green transition","green"
"Air & Water pollution reduction",2015,1.11,"Green transition","green"
"Air & Water pollution reduction",2014,0.91,"Green transition","green"
"Air & Water pollution reduction",2013,0.85,"Green transition","green"
"Air & Water pollution reduction",2020,1.08,"Green transition","green"
"Green transports",2020,1.08,"Green transition","green"
"Air & Water pollution reduction",2010,1.06,"Green transition","green"
"Biotechnology",2017,0.84,"Green transition","green"
"Biotechnology",2012,0.69,"Green transition","green"
"Hydrogen",2015,0.87,"Green transition","green"
"Hydrogen",2012,0.6,"Green transition","green"
"Hydrogen",2011,0.68,"Green transition","green"
"Hydrogen",2016,0.72,"Green transition","green"
"Biotechnology",2016,0.69,"Green transition","green"
"Efficient power & combustion",2019,0.62,"Green transition","green"
"Biotechnology",2015,0.69,"Green transition","green"
"Hydrogen",2017,0.64,"Green transition","green"
"Biotechnology",2013,0.52,"Green transition","green"
"Biotechnology",2014,0.53,"Green transition","green"
"Hydrogen",2014,0.53,"Green transition","green"
"Biotechnology",2020,0.63,"Green transition","green"
"Efficient power & combustion",2018,0.53,"Green transition","green"
"Efficient power & combustion",2017,0.56,"Green transition","green"
"Other energy storage",2018,0.53,"Green transition","green"
"Other energy storage",2014,0.51,"Green transition","green"
"Efficient power & combustion",2020,0.6,"Green transition","green"
"Efficient power & combustion",2012,0.45,"Green transition","green"
"Hydrogen",2018,0.5,"Green transition","green"
"Hydrogen",2013,0.45,"Green transition","green"
"Hydrogen",2019,0.49,"Green transition","green"
"Hydrogen",2010,0.65,"Green transition","green"
"Efficient power & combustion",2013,0.43,"Green transition","green"
"Efficient power & combustion",2014,0.46,"Green transition","green"
"Other energy storage",2013,0.43,"Green transition","green"
"Recycling technologies",2016,0.49,"Green transition","green"
"Efficient power & combustion",2011,0.44,"Green transition","green"
"Efficient power & combustion",2016,0.46,"Green transition","green"
"Other energy storage",2017,0.45,"Green transition","green"
"Other energy storage",2016,0.46,"Green transition","green"
"Biofuels",2013,0.35,"Green transition","green"
"Biofuels",2018,0.4,"Green transition","green"
"Other energy storage",2012,0.36,"Green transition","green"
"Waste management",2015,0.45,"Green transition","green"
"Other energy storage",2015,0.42,"Green transition","green"
"Recycling technologies",2017,0.39,"Green transition","green"
"Biofuels",2016,0.38,"Green transition","green"
"Biofuels",2017,0.36,"Green transition","green"
"Hydrogen",2020,0.41,"Green transition","green"
"Biofuels",2012,0.29,"Green transition","green"
"Nuclear energy",2018,0.32,"Green transition","green"
"Other energy storage",2011,0.33,"Green transition","green"
"Biofuels",2015,0.33,"Green transition","green"
"Biofuels",2010,0.38,"Green transition","green"
"Biofuels",2011,0.3,"Green transition","green"
"Air & Water pollution reduction",2021,0.64,"Green transition","green"
"Biotechnology",2010,0.34,"Green transition","green"
"Efficient power & combustion",2010,0.34,"Green transition","green"
"Other energy storage",2010,0.34,"Green transition","green"
"Recycling technologies",2015,0.3,"Green transition","green"
"Waste management",2020,0.32,"Green transition","green"
"Waste management",2017,0.28,"Green transition","green"
"Wind energy",2016,0.29,"Green transition","green"
"Biofuels",2014,0.23,"Green transition","green"
"Biofuels",2019,0.23,"Green transition","green"
"Biotechnology",2011,0.25,"Green transition","green"
"Green transports",2021,0.58,"Green transition","green"
"Greenhouse gas capture",2017,0.25,"Green transition","green"
"Recycling technologies",2020,0.28,"Green transition","green"
"Waste management",2019,0.23,"Green transition","green"
"Waste management",2018,0.24,"Green transition","green"
"Waste management",2013,0.21,"Green transition","green"
"Nuclear energy",2016,0.23,"Green transition","green"
"Recycling technologies",2011,0.22,"Green transition","green"
"Recycling technologies",2014,0.2,"Green transition","green"
"Waste management",2016,0.23,"Green transition","green"
"Wind energy",2015,0.24,"Green transition","green"
"Efficient power & combustion",2015,0.21,"Green transition","green"
"Hydrogen",2021,0.45,"Green transition","green"
"Marine & hydro energy",2014,0.18,"Green transition","green"
"Nuclear energy",2017,0.2,"Green transition","green"
"Nuclear energy",2019,0.18,"Green transition","green"
"Recycling technologies",2012,0.17,"Green transition","green"
"Recycling technologies",2013,0.17,"Green transition","green"
"Wind energy",2019,0.18,"Green transition","green"
"Wind energy",2010,0.24,"Green transition","green"
"Other energy storage",2020,0.19,"Green transition","green"
"Recycling technologies",2019,0.15,"Green transition","green"
"Recycling technologies",2010,0.21,"Green transition","green"
"Biotechnology",2021,0.32,"Green transition","green"
"Greenhouse gas capture",2016,0.14,"Green transition","green"
"Greenhouse gas capture",2018,0.13,"Green transition","green"
"Marine & hydro energy",2012,0.12,"Green transition","green"
"Marine & hydro energy",2010,0.17,"Green transition","green"
"Waste management",2011,0.14,"Green transition","green"
"Wind energy",2017,0.14,"Green transition","green"
"Wind energy",2020,0.16,"Green transition","green"
"Wind energy",2013,0.12,"Green transition","green"
"Wind energy",2012,0.12,"Green transition","green"
"Efficient power & combustion",2021,0.26,"Green transition","green"
"Greenhouse gas capture",2021,0.26,"Green transition","green"
"Marine & hydro energy",2011,0.11,"Green transition","green"
"Other energy storage",2021,0.26,"Green transition","green"
"Recycling technologies",2018,0.11,"Green transition","green"
"Recycling technologies",2021,0.26,"Green transition","green"
"Waste management",2012,0.1,"Green transition","green"
"Waste management",2014,0.1,"Green transition","green"
"Waste management",2021,0.26,"Green transition","green"
"Water related adaptation technologies",2019,0.1,"Green transition","green"
"Wind energy",2018,0.11,"Green transition","green"
"Biofuels",2020,0.09,"Green transition","green"
"Geothermal energy",2013,0.07,"Green transition","green"
"Geothermal energy",2018,0.08,"Green transition","green"
"Greenhouse gas capture",2014,0.08,"Green transition","green"
"Greenhouse gas capture",2015,0.09,"Green transition","green"
"Greenhouse gas capture",2011,0.08,"Green transition","green"
"Greenhouse gas capture",2012,0.07,"Green transition","green"
"Greenhouse gas capture",2020,0.09,"Green transition","green"
"Greenhouse gas capture",2019,0.08,"Green transition","green"
"Marine & hydro energy",2018,0.08,"Green transition","green"
"Marine & hydro energy",2013,0.07,"Green transition","green"
"Nuclear energy",2013,0.07,"Green transition","green"
"Nuclear energy",2010,0.1,"Green transition","green"
"Nuclear energy",2020,0.09,"Green transition","green"
"Water related adaptation technologies",2020,0.09,"Green transition","green"
"Wind energy",2014,0.08,"Green transition","green"
"Biofuels",2021,0.13,"Green transition","green"
"Geothermal energy",2017,0.06,"Green transition","green"
"Greenhouse gas capture",2013,0.05,"Green transition","green"
"Marine & hydro energy",2017,0.06,"Green transition","green"
"Marine & hydro energy",2016,0.06,"Green transition","green"
"Marine & hydro energy",2015,0.06,"Green transition","green"
"Nuclear energy",2015,0.06,"Green transition","green"
"Nuclear energy",2021,0.13,"Green transition","green"
"Nuclear energy",2014,0.05,"Green transition","green"
"Other energy storage",2019,0.05,"Green transition","green"
"Waste management",2010,0.07,"Green transition","green"
"Water related adaptation technologies",2012,0.05,"Green transition","green"
"Water related adaptation technologies",2017,0.06,"Green transition","green"
"Water related adaptation technologies",2018,0.05,"Green transition","green"
"Water related adaptation technologies",2016,0.06,"Green transition","green"
"Wind energy",2021,0.13,"Green transition","green"
"Geothermal energy",2020,0.03,"Green transition","green"
"Geothermal energy",2016,0.03,"Green transition","green"
"Geothermal energy",2011,0.03,"Green transition","green"
"Geothermal energy",2019,0.03,"Green transition","green"
"Geothermal energy",2015,0.03,"Green transition","green"
"Greenhouse gas capture",2010,0.03,"Green transition","green"
"Marine & hydro energy",2019,0.03,"Green transition","green"
"Marine & hydro energy",2020,0.03,"Green transition","green"
"Nuclear energy",2011,0.03,"Green transition","green"
"Nuclear energy",2012,0.02,"Green transition","green"
"Water related adaptation technologies",2013,0.02,"Green transition","green"
"Water related adaptation technologies",2015,0.03,"Green transition","green"
"Water related adaptation technologies",2021,0.06,"Green transition","green"
"Water related adaptation technologies",2014,0.03,"Green transition","green"
"Water related adaptation technologies",2011,0.03,"Green transition","green"
"Wind energy",2011,0.03,"Green transition","green"
