"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",298,"green",15.97
"Air & Water pollution reduction","Green transition",40,"green",2.14
"Batteries","Green transition",510,"green",27.33
"Biofuels","Green transition",3,"green",0.16
"Biotechnology","Green transition",109,"green",5.84
"Efficient power & combustion","Green transition",11,"green",0.59
"Geothermal energy","Green transition",1,"green",0.05
"Green buildings","Green transition",185,"green",9.91
"Green transports","Green transition",107,"green",5.73
"Greenhouse gas capture","Green transition",2,"green",0.11
"Hydrogen","Green transition",5,"green",0.27
"Marine & hydro energy","Green transition",2,"green",0.11
"Nuclear energy","Green transition",4,"green",0.21
"Other energy storage","Green transition",6,"green",0.32
"Recycling technologies","Green transition",12,"green",0.64
"Solar energy","Green transition",531,"green",28.46
"Waste management","Green transition",16,"green",0.86
"Water related adaptation technologies","Green transition",10,"green",0.54
"Wind energy","Green transition",14,"green",0.75
