"id","parent","value","color","share"
"Additive manufacturing","Digital transition",73,"blue",5.78
"Artificial intelligence","Digital transition",308,"blue",24.39
"Augmented reality","Digital transition",327,"blue",25.89
"Autonomous robots","Digital transition",57,"blue",4.51
"Autonomous vehicles","Digital transition",26,"blue",2.06
"Blockchain","Digital transition",27,"blue",2.14
"Cloud computing","Digital transition",74,"blue",5.86
"Cybersecurity","Digital transition",71,"blue",5.62
"Internet of things","Digital transition",108,"blue",8.55
"Nanotechnology","Digital transition",176,"blue",13.94
"Quantum computers","Digital transition",13,"blue",1.03
"Smart grids","Digital transition",3,"blue",0.24
