"id","x","y","parent","color"
"Biotechnology",2019,44.07,"Green transition","green"
"Biotechnology",2018,45.22,"Green transition","green"
"Biotechnology",2020,44.56,"Green transition","green"
"Biotechnology",2017,48.22,"Green transition","green"
"Biotechnology",2016,48.52,"Green transition","green"
"Biotechnology",2015,49.8,"Green transition","green"
"Biotechnology",2014,51,"Green transition","green"
"Biotechnology",2013,52.36,"Green transition","green"
"Biotechnology",2012,54.9,"Green transition","green"
"Biotechnology",2010,54.46,"Green transition","green"
"Biotechnology",2011,53.37,"Green transition","green"
"Biotechnology",2021,47.1,"Green transition","green"
"Advanced Sustainable Materials",2017,12.56,"Green transition","green"
"Advanced Sustainable Materials",2019,10.27,"Green transition","green"
"Advanced Sustainable Materials",2018,10.36,"Green transition","green"
"Advanced Sustainable Materials",2020,9.71,"Green transition","green"
"Autonomous vehicles",2020,8.99,"Digital transition","blue"
"Autonomous vehicles",2019,7.04,"Digital transition","blue"
"Advanced Sustainable Materials",2016,9.71,"Green transition","green"
"Advanced Sustainable Materials",2013,11.09,"Green transition","green"
"Autonomous vehicles",2018,6.97,"Digital transition","blue"
"Advanced Sustainable Materials",2015,9.98,"Green transition","green"
"Air & Water pollution reduction",2016,8.61,"Green transition","green"
"Air & Water pollution reduction",2019,5.79,"Green transition","green"
"Advanced Sustainable Materials",2014,9.55,"Green transition","green"
"Air & Water pollution reduction",2018,6.33,"Green transition","green"
"Advanced Sustainable Materials",2012,10.09,"Green transition","green"
"Air & Water pollution reduction",2017,6.11,"Green transition","green"
"Air & Water pollution reduction",2020,5.6,"Green transition","green"
"Advanced Sustainable Materials",2011,10.97,"Green transition","green"
"Advanced Sustainable Materials",2021,11.44,"Green transition","green"
"Advanced Sustainable Materials",2010,10.28,"Green transition","green"
"Air & Water pollution reduction",2015,7.29,"Green transition","green"
"Water related adaptation technologies",2018,4.98,"Green transition","green"
"Water related adaptation technologies",2017,5.29,"Green transition","green"
"Air & Water pollution reduction",2014,7.13,"Green transition","green"
