"id","parent","value","color","share"
"Additive manufacturing","Digital transition",14,"blue",0.25
"Advanced Sustainable Materials","Green transition",198,"green",3.51
"Air & Water pollution reduction","Green transition",134,"green",2.38
"Artificial intelligence","Digital transition",282,"blue",5
"Augmented reality","Digital transition",195,"blue",3.46
"Autonomous robots","Digital transition",32,"blue",0.57
"Autonomous vehicles","Digital transition",1280,"blue",22.71
"Batteries","Green transition",1040,"green",18.45
"Biofuels","Green transition",15,"green",0.27
"Biotechnology","Green transition",2,"green",0.04
"Blockchain","Digital transition",75,"blue",1.33
"Cloud computing","Digital transition",148,"blue",2.63
"Cybersecurity","Digital transition",127,"blue",2.25
"Efficient power & combustion","Green transition",5,"green",0.09
"Green buildings","Green transition",69,"green",1.22
"Green transports","Green transition",1281,"green",22.73
"Hydrogen","Green transition",58,"green",1.03
"Internet of things","Digital transition",286,"blue",5.07
"Marine & hydro energy","Green transition",4,"green",0.07
"Nanotechnology","Digital transition",3,"blue",0.05
"Nuclear energy","Green transition",2,"green",0.04
"Other energy storage","Green transition",11,"green",0.2
"Quantum computers","Digital transition",17,"blue",0.3
"Recycling technologies","Green transition",10,"green",0.18
"Smart grids","Digital transition",149,"blue",2.64
"Solar energy","Green transition",126,"green",2.24
"Waste management","Green transition",29,"green",0.51
"Water related adaptation technologies","Green transition",13,"green",0.23
"Wind energy","Green transition",31,"green",0.55
