"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",311,"green",18.63
"Air & Water pollution reduction","Green transition",42,"green",2.52
"Batteries","Green transition",221,"green",13.24
"Biofuels","Green transition",12,"green",0.72
"Biotechnology","Green transition",20,"green",1.2
"Efficient power & combustion","Green transition",14,"green",0.84
"Geothermal energy","Green transition",1,"green",0.06
"Green buildings","Green transition",48,"green",2.88
"Green transports","Green transition",683,"green",40.92
"Greenhouse gas capture","Green transition",4,"green",0.24
"Hydrogen","Green transition",18,"green",1.08
"Marine & hydro energy","Green transition",7,"green",0.42
"Nuclear energy","Green transition",19,"green",1.14
"Other energy storage","Green transition",5,"green",0.3
"Recycling technologies","Green transition",19,"green",1.14
"Solar energy","Green transition",139,"green",8.33
"Waste management","Green transition",11,"green",0.66
"Water related adaptation technologies","Green transition",35,"green",2.1
"Wind energy","Green transition",60,"green",3.59
