"id","x","y","parent","color"
"Augmented reality",2019,185,"Digital transition","blue"
"Augmented reality",2017,167,"Digital transition","blue"
"Augmented reality",2018,164,"Digital transition","blue"
"Augmented reality",2014,153,"Digital transition","blue"
"Augmented reality",2016,144,"Digital transition","blue"
"Augmented reality",2015,133,"Digital transition","blue"
"Artificial intelligence",2019,115,"Digital transition","blue"
"Augmented reality",2013,89,"Digital transition","blue"
"Augmented reality",2020,66,"Digital transition","blue"
"Augmented reality",2012,64,"Digital transition","blue"
"Internet of things",2016,62,"Digital transition","blue"
"Solar energy",2017,61,"Green transition","green"
"Artificial intelligence",2020,60,"Digital transition","blue"
"Advanced Sustainable Materials",2016,57,"Green transition","green"
"Internet of things",2017,57,"Digital transition","blue"
"Advanced Sustainable Materials",2015,56,"Green transition","green"
"Internet of things",2014,55,"Digital transition","blue"
"Solar energy",2018,51,"Green transition","green"
"Solar energy",2015,50,"Green transition","green"
"Advanced Sustainable Materials",2017,48,"Green transition","green"
"Cybersecurity",2010,48,"Digital transition","blue"
"Internet of things",2018,48,"Digital transition","blue"
"Advanced Sustainable Materials",2014,47,"Green transition","green"
"Advanced Sustainable Materials",2018,44,"Green transition","green"
"Advanced Sustainable Materials",2013,44,"Green transition","green"
"Artificial intelligence",2018,44,"Digital transition","blue"
"Solar energy",2011,43,"Green transition","green"
"Internet of things",2019,41,"Digital transition","blue"
"Solar energy",2019,41,"Green transition","green"
"Augmented reality",2010,40,"Digital transition","blue"
"Solar energy",2014,40,"Green transition","green"
"Artificial intelligence",2021,39,"Digital transition","blue"
"Artificial intelligence",2016,38,"Digital transition","blue"
"Artificial intelligence",2017,38,"Digital transition","blue"
"Artificial intelligence",2014,38,"Digital transition","blue"
"Augmented reality",2021,38,"Digital transition","blue"
"Autonomous vehicles",2019,36,"Digital transition","blue"
"Cybersecurity",2018,36,"Digital transition","blue"
"Artificial intelligence",2015,34,"Digital transition","blue"
"Augmented reality",2011,34,"Digital transition","blue"
"Solar energy",2012,34,"Green transition","green"
"Autonomous vehicles",2020,33,"Digital transition","blue"
"Autonomous vehicles",2018,32,"Digital transition","blue"
"Internet of things",2015,32,"Digital transition","blue"
"Solar energy",2010,32,"Green transition","green"
"Batteries",2019,31,"Green transition","green"
"Solar energy",2013,31,"Green transition","green"
"Solar energy",2020,31,"Green transition","green"
"Autonomous vehicles",2014,30,"Digital transition","blue"
"Internet of things",2013,30,"Digital transition","blue"
"Advanced Sustainable Materials",2019,29,"Green transition","green"
"Cybersecurity",2019,29,"Digital transition","blue"
