"id","parent","value","color","share"
"Additive manufacturing","Digital transition",1032,"blue",6.44
"Artificial intelligence","Digital transition",3902,"blue",24.33
"Augmented reality","Digital transition",4373,"blue",27.27
"Autonomous robots","Digital transition",775,"blue",4.83
"Autonomous vehicles","Digital transition",320,"blue",2
"Blockchain","Digital transition",394,"blue",2.46
"Cloud computing","Digital transition",571,"blue",3.56
"Cybersecurity","Digital transition",972,"blue",6.06
"Internet of things","Digital transition",1140,"blue",7.11
"Nanotechnology","Digital transition",2329,"blue",14.52
"Quantum computers","Digital transition",175,"blue",1.09
"Smart grids","Digital transition",52,"blue",0.32
